Vessel,Type,Size,Fishcapacity,FuelCapacity,FuelPerDay,Speed,TripLengthSWF,TripLengthTUNA,MAXDaysInSea,OwnerOperated,OwnerEthnicity,RevenueShare,HookSWF,HookTUNA,Crew,FixedCost,WagePerDay,OperatingCostSWF,OperatingCostTUNA,TravelCost,NetWork,CPUE_SWF_BYT,CPUE_SWF_YFT,CPUE_SWF_SWF,CPUE_SWF_OTHER,CPUE_TUNA_BYT,CPUE_TUNA_YFT,CPUE_TUNA_SWF,CPUE_TUNA_OTHER,PRICE_TUNA_BYT,PRICE_TUNA_YFT,PRICE_TUNA_SWF,PRICE_TUNA_OTHER,PRICE_SWF_BYT,PRICE_SWF_YFT,PRICE_SWF_SWF,PRICE_SWF_OTHER,IPUE_LOG,IPUE_LTH,MaxRevenue
91,M,3,229216,14464,298,297.6,46,25,46,0,0,0,0.94351,2.31205,0,0,467.933,602.903,602.903,628.879,72,-142.833,3.444,-605.81,-275.825,-162.82,-199.904,-5.785,-132.158,-0.48347,0.19774,0.63191,-0.12172,-0.20562,0.09932,-0.13659,0.18964,1,1,172728
92,T,3,279908,13669,234,252,0,23,35,0,0,0,0,2.50584,0,0,353.43,440.212,440.212,1210.58,38,-9999,-9999,-9999,-9999,-165.17,-202.73,-9.196,-186.167,-0.13305,0.03383,-0.1487,0.00687,-0.13305,0.03383,-0.1487,0.00687,1,1,88195
93,M,3,220400,14165,298,302.4,46,22,46,0,0,0,0.794,2.02519,0,0,620.56,649.727,649.727,615.88,54,-95.038,-6.295,-1070.49,-248.139,0,-205.522,0,-106.214,-0.29158,0.08657,0.45051,0.11195,-0.93953,-0.2917,0.19659,0.30702,1,1,118147
94,M,3,211584,12492,255,273.6,32,19,32,0,0,0,0.80857,2.02037,0,0,334.17,636.949,636.949,780.77,55,-158.323,-5.911,-967.93,-173.288,-131.9,-223.952,-10.453,-122.9,-0.02862,0.17559,-0.11626,0.06805,0.2638,-0.32505,-0.51161,-0.32609,1,1,91089
95,T,2,66120,2255,170,304.8,0,10,14,0,0,0,0,0.84328,0,0,424.54,406.784,406.784,433.592,45,-9999,-9999,-9999,-9999,-71.66,-168.66,-1.668,-110.492,-1.11731,0.13817,0.06952,0.36981,-1.11731,0.13817,0.06952,0.36981,1,1,19546
96,T,1,74936,2008,128,338.4,0,20,29,0,0,0,0,1.91475,0,0,319.72,424.789,424.789,203.27,61,-9999,-9999,-9999,-9999,-109.95,-219.459,-1.654,-202.65,-0.36419,-0.10548,0.14326,0.07047,-0.36419,-0.10548,0.14326,0.07047,1,1,86190
97,T,3,227012,2732,234,252,0,19,26,0,0,0,0,1.53707,0,0,426.11,313.911,313.911,282.19,60,-9999,-9999,-9999,-9999,-175.86,0,-4.693,-113.8,-0.0399,0.18746,0.07512,0.09353,-0.0399,0.18746,0.07512,0.09353,1,1,105610
98,T,2,185136,3135,170,288,0,19,26,0,0,0,0,2.37148,0,0,635.88,360.62,360.62,322.36,105,-9999,-9999,-9999,-9999,-95.66,-208.657,-8.068,-167.789,0.18635,-0.08923,-0.3262,-0.03809,0.18635,-0.08923,-0.3262,-0.03809,1,1,96228
99,M,3,79344,11712,276,297.6,29,17,29,0,0,0,0.81253,1.92093,0,0,305.61,636.812,636.812,807.69,14,-234.262,-14.211,0,-253.53,-56.24,-208.189,-4.622,-136.239,0.14195,0.43197,-0.0618,0.16016,-0.02232,-0.32276,-0.41954,0.18018,1,1,97155
100,T,2,68324,3372,234,292.8,0,16,28,0,0,0,0,2.10596,0,0,339.2,369.443,369.443,410.1,108,-9999,-9999,-9999,-9999,-208.39,-201.101,-9.831,-176.413,-0.13757,0.18851,-0.29004,0.07494,-0.13757,0.18851,-0.29004,0.07494,1,1,86635
101,M,3,155588,14843,221,252,41,22,41,0,0,0,0.82031,2.00329,0,0,716.88,654.19,654.19,724.06,86,-149.203,0.657,-314.12,-280.073,-182.24,-197.844,-10.48,-128.95,-0.43919,-0.15051,0.05089,0.04197,0.02419,-0.90729,0.08244,-0.15487,1,1,194590
102,M,3,79344,9004,298,309.6,31,19,33,0,0,0,0.94067,2.26102,0,0,450.21,513.285,513.285,580.91,41,-89.695,27.008,-839.19,-170.252,-177.19,-209.794,-7.498,-168.578,-0.10148,0.24776,-0.00125,0.07035,-0.03266,0.23802,0.14893,0.06433,1,1,101982
103,M,3,96976,14145,298,283.2,45,25,45,0,0,0,0.9467,2.40631,0,0,1008.69,542.439,542.439,628.65,18,-161.47,2.44,-669.26,-192.925,-193.4,-178.58,-12.572,-148.77,-0.2373,0.14439,0.29769,-0.02095,-0.92416,0.04507,-0.02976,-0.09234,1,1,165910
104,M,3,79344,13432,213,261.6,41,18,41,0,0,0,0.91127,1.96279,0,0,228.84,483.778,483.778,655.23,23,-161.442,-8.617,-1203.1,-209.089,-149.88,-212.064,-3.899,-135.672,-0.53317,-0.15894,0.28454,0.02348,0.46159,0.11417,0.07787,0.00606,1,1,116383
105,M,3,88160,19622,234,259.2,48,24,48,0,0,0,0.87375,2.33368,0,0,440.62,677.61,677.61,817.57,6,-151.823,8.594,-788.69,-209.474,-184.24,-192.8,-7.844,-195.368,-0.32316,-0.04704,0.10677,-0.07384,0.29622,-0.01431,-0.09891,-0.07926,1,1,162072
106,M,3,77140,9222,155,223.2,53,22,53,0,0,0,0.918,2.34529,0,0,503.52,489.125,489.125,348,66,-144.41,-5.492,-1010.63,-202.849,-173.28,-204.348,-6.485,-149.325,-0.44304,0.00381,0.14716,0.03885,0.62209,-0.54455,-0.37521,-0.4248,1,1,150971
107,T,3,96976,4187,234,252,0,18,27,0,0,0,0,2.34881,0,0,690.89,411.925,411.925,459.04,98,-9999,-9999,-9999,-9999,-47.63,-190.126,-3.39,-139.227,0.30727,0.24367,0.12086,0.0744,0.30727,0.24367,0.12086,0.0744,1,1,141233
108,T,3,321784,6180,255,228,0,22,38,0,0,0,0,2.1972,0,0,493.518,434.049,434.049,565.09,105,-9999,-9999,-9999,-9999,-77.09,-200.399,-7.015,-163.399,0.05337,0.42838,0.08277,0.23276,0.05337,0.42838,0.08277,0.23276,1,1,115099
109,M,3,81548,11402,255,280.8,35,19,35,0,0,0,0.95981,2.19778,0,0,453.3,748.523,748.523,651.56,59,-130.44,0.957,-629.4,-224.571,-127.16,-202.977,-9.837,-45.021,0.0924,0.40566,0.45098,0.02405,-0.65986,-0.51499,-0.02447,-0.08751,1,1,149380
110,T,3,213788,3143,138,208.8,0,18,33,0,0,0,0,2.38794,0,0,624.83,321.693,321.693,354.33,37,-9999,-9999,-9999,-9999,-155.4,-208.877,-6.017,-170.336,0.02444,0.06168,0.11316,0.00621,0.02444,0.06168,0.11316,0.00621,1,1,97539
111,T,3,90364,6025,149,204,0,21,32,0,0,0,0,2.06966,0,0,493.518,434.049,434.049,565.09,27,-9999,-9999,-9999,-9999,-150.5,-166.4,-1.891,-58.013,-0.40649,0.3812,-0.38831,-0.06577,-0.40649,0.3812,-0.38831,-0.06577,1,1,113392
112,M,3,119016,16665,319,259.2,53,27,53,0,0,0,0.91956,1.99951,0,0,467.933,602.903,602.903,628.879,76,-166.422,-9.097,-812.29,-211.266,-182.25,-216.439,-4.397,-134.285,-0.60163,-0.39948,0.27895,-0.2441,-0.4884,-0.21999,-0.28241,-0.00807,1,1,113360
113,M,3,85956,15722,230,264,50,25,50,0,0,0,0.96395,2.27861,0,0,467.933,602.903,602.903,628.879,64,-149.142,12.26,-837.27,-164.227,-94.91,-175.662,-2.911,-99.8,-0.3444,0.46147,0.70565,-0.0759,0.23669,0.51601,-0.29459,0.08042,1,1,115306
114,T,3,88160,4982,234,252,0,21,31,0,0,0,0,2.14277,0,0,426.19,555.612,555.612,483.67,75,-9999,-9999,-9999,-9999,-92.02,-201.68,-1.863,-201.638,-0.11943,-0.01407,0.23775,0.19396,-0.11943,-0.01407,0.23775,0.19396,1,1,98981
115,M,2,70528,9537,214,273.6,48,21,48,0,0,0,0.83257,1.79205,0,0,529.55,515.295,515.295,397.38,71,-167.274,-7.712,-575.5,-220.459,-103.76,-209.826,-2.859,0,-0.18323,-0.16876,0.14551,0.07721,0.29943,-0.04863,-0.02834,0.11485,1,1,151296
116,M,3,92568,15093,285,278.4,48,22,48,0,0,0,0.95199,2.47092,0,0,467.933,602.903,602.903,628.879,24,-155.713,15.556,-904.37,-191.619,-234.54,-215.682,-5.834,-167.848,0.09518,0.28471,0.03918,-0.04941,-0.26455,0.27145,0.24061,0.05209,1,1,125073
117,M,3,90364,12578,285,280.8,40,21,40,0,0,0,0.91719,2.55432,0,0,467.933,602.903,602.903,628.879,88,-167.62,-1.332,-673.81,-225.848,-150.11,-193.093,-6.409,-118.144,-0.2626,0.01932,-0.13105,-0.12475,0.42993,-0.49168,-0.04712,-0.26767,1,1,185248
118,T,2,132240,4788,272,340.8,0,22,30,0,0,0,0,3.24825,0,0,424.54,406.784,406.784,433.592,81,-9999,-9999,-9999,-9999,-75.35,-191.95,-8.312,-227.302,0.29193,0.53554,-0.01811,0.09796,0.29193,0.53554,-0.01811,0.09796,1,1,181878
119,M,3,94772,12263,215,237.6,39,22,39,0,0,0,0.88052,2.11538,0,0,467.933,602.903,602.903,628.879,63,-234.919,-13.155,-1135.57,-282.231,-150.3,-190.875,-8.269,-136.901,-0.09949,0.15918,0.04609,-0.02812,0.11601,-0.27782,-0.14255,-0.001,1,1,76629
120,M,3,77140,13206,230,271.2,42,25,42,0,0,0,0.78941,2.21154,0,0,467.933,602.903,602.903,628.879,68,-134.825,-28.919,-1557.42,-312.174,-115.19,-180.313,-4.292,-173.257,0.02317,0.14943,0.0014,0.0258,-0.79413,-2.0439,-0.30831,0.36271,1,1,144643
121,M,3,213788,8249,149,218.4,36,20,36,0,0,0,0.75284,2.01037,0,0,442.7,441.264,441.264,458.27,24,-192.676,-0.91,-909.85,-252.907,-97.27,-216.53,-4.943,-142.093,0.04068,0.13538,0.19192,0.06668,0.40539,-1.64686,-0.55882,0.53065,1,1,110335
122,M,3,213788,5472,213,259.2,27,18,27,0,0,0,0.78145,1.95512,0,0,381.97,567.684,567.684,405.35,63,-142.145,16.135,-962.21,-175.112,-192.34,-204.249,-9.814,-106.38,-0.13258,0.17996,-0.3045,-0.01465,2.61279,0.97123,0.2763,0.37465,1,1,101448
123,M,3,103588,16980,244,244.8,54,24,54,0,0,0,0.79962,2.13482,0,0,467.933,602.903,602.903,628.879,13,-143.566,-9.13,-675.59,-216.756,-110.33,-180.443,-7.333,-114.747,-0.3495,-0.33148,-0.31913,-0.08181,0.65774,-0.56684,0.10533,0.177,1,1,182420
124,M,3,96976,14725,234,259.2,53,21,53,0,0,0,0.89663,2.17778,0,0,476.14,524.891,524.891,555.65,89,-88.106,-4.28,-765.32,-134.54,-64.87,-194.214,-2.475,-105.528,-0.16044,0.18132,0.55409,0.04607,-0.19471,0.04538,-0.11052,-0.08813,1,1,178020
125,M,3,96976,14900,285,271.2,42,24,43,0,0,0,0.90513,2.25568,0,0,481.3,706.879,706.879,709.5,97,-106.854,15.593,-552.17,-238.699,-85.16,-210.337,-7.104,-137.131,-0.11199,0.2329,0.24148,0.09992,-0.10871,0.27857,0.24945,0.00054,1,1,220247
126,T,3,92568,4136,298,285.6,0,20,29,0,0,0,0,2.62534,0,0,604.34,314.121,314.121,404.5,109,-9999,-9999,-9999,-9999,-142.07,-212.33,-3.342,-184.094,-0.08671,0.29368,0.38279,0.19121,-0.08671,0.29368,0.38279,0.19121,1,1,128775
127,T,2,156484,4543,170,271.2,0,18,24,0,0,0,0,2.50848,0,0,660.29,352.721,352.721,494.7,105,-9999,-9999,-9999,-9999,-155.01,-191.531,-5.174,-157.272,0.31258,0.07027,0.26677,0.12517,0.31258,0.07027,0.26677,0.12517,1,1,149902
128,T,2,127832,5056,202,328.8,0,23,31,0,0,0,0,2.30234,0,0,424.54,406.784,406.784,433.592,67,-9999,-9999,-9999,-9999,-127.22,-198.735,-5.576,-163.107,-0.19795,-0.17998,-0.34957,0.04481,-0.19795,-0.17998,-0.34957,0.04481,1,1,117035
129,M,3,127832,21571,234,259.2,50,19,50,0,0,0,0.85983,2.1898,0,0,232.51,813.355,813.355,862.84,18,-155.972,-9999,-1219.05,-257.822,-124.42,-193.684,-7.765,-145.454,-0.10345,0.12202,0.56709,-0.02654,-0.10345,0.12202,0.56709,-0.02654,1,1,155296
130,T,3,176320,3305,213,285.6,0,21,27,0,0,0,0,2.4046,0,0,516.16,316.522,316.522,312.1,105,-9999,-9999,-9999,-9999,-209.95,-200.503,-10.151,-172.79,0,0,0,0,0,0,0,0,1,1,86989
