JulianDay,BYT,YFT,SWF,OTHER
300,2.59,1.58,2.39,1.23
301,2.51,1.69,2.86,1.25
302,2.46,1.81,2.69,1.41
303,3.04,2.27,2.93,1.22
304,3.78,3,2.43,1.55
305,2.85,2,2.48,1.28
306,2.98,1.95,2.73,1.43
307,2.64,1.9,2.95,1.44
308,2.65,1.69,2.35,1.42
309,2.3,1.64,2.87,1.4
310,2.66,1.86,2.47,1.24
311,2.77,2.25,2.21,1.49
312,2.76,1.82,2.37,1.35
313,3.16,1.87,2.85,1.56
314,3.1,2.07,2.66,1.51
315,3.38,2.51,2.19,1.59
316,2.77,2.22,2.61,1.64
317,3.14,2.13,2.71,1.45
318,2.98,2,2.45,1.65
319,2.81,1.93,2.58,1.5
320,2.66,1.58,2.4,1.44
321,2.62,1.73,2.21,1.51
322,2.78,1.95,2.31,1.4
323,2.79,1.9,2.78,1.46
324,2.56,1.7,2.03,1.32
325,2.67,1.66,2.22,1.46
326,2.66,1.98,2.28,1.32
327,3.24,2.15,1.33,1.54
328,3.11,2.68,2.49,1.38
329,3.72,2.68,2.49,1.56
330,3.69,2.76,2.68,1.54
331,3.39,2.85,2.21,1.43
332,2.53,1.84,2.51,1.37
333,2.86,2.12,2.59,1.4
334,2.53,1.97,2.02,1.21
335,2.21,1.73,2.22,1.22
336,2.31,1.58,1.58,1.13
337,2.45,2.15,2.34,1.13
338,2.34,1.93,2.51,1.16
339,2.55,1.65,1.67,1.24
340,2.8,2.2,2.42,1.38
341,2.69,2.1,2.22,1.45
342,2.58,2.13,2.09,1.68
343,2.84,2.39,1.88,1.51
344,3.01,2.51,1.92,1.45
345,2.74,2.33,2.12,1.44
346,3.26,2.63,2.27,1.51
347,3.04,2.44,1.96,1.58
348,3.24,2.62,2.26,1.78
349,2.88,2.34,2.18,1.74
350,3.17,2.89,1.76,1.75
