"","id","Longitude","Latitude","Area","OceanRegionCode","IsHome","SWF_BYT","SWF_YFT","SWF_SWF","SWF_OTHER","TUNA_BYT","TUNA_YFT","TUNA_SWF","TUNA_OTHER","SWF_LOG","SWF_LTH","TUNA_LOG","TUNA_LTH"
"1127",1127,136,25,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1128",1128,137,25,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1129",1129,138,25,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1130",1130,139,25,2,"EPO",0,-9999,-9999,-9999,-9999,256.804985368605,224.557967784101,54.7996943047155,326.662382707735,0,0,0,0
"1131",1131,140,25,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1132",1132,141,25,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1133",1133,142,25,2,"EPO",0,80.4220594054208,85.6644278233302,-1252.19742118514,425.190609344224,-9999,-9999,-9999,-9999,0,0,0,0
"1134",1134,143,25,2,"EPO",0,171.972364476594,30.7295134655407,-156.477634094853,-10.0565720728407,-9999,-9999,-9999,-9999,0,0,0,0
"1135",1135,144,25,2,"EPO",0,166.482910156255,87.2588211542297,231.042973541398,122.080490037726,525.611242060915,77.1957006127001,43.859167621967,284.420300404765,0,0,0,0
"1136",1136,145,25,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1137",1137,146,25,2,"EPO",0,-9999,-9999,-9999,-9999,856.576446999198,36.1689717907383,48.2742819012836,350.590666109545,0,0,0,0
"1138",1138,147,25,2,"EPO",0,362.769889868387,83.9474758187,-982.98114273852,-21.7887871142507,-9999,-9999,-9999,-9999,0,0,0,0
"1139",1139,148,25,2,"EPO",0,-9999,-9999,-9999,-9999,306.215066611883,78.2126432623537,64.0618242481378,295.485121943892,0,0,0,0
"1140",1140,149,25,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1141",1141,150,25,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1142",1142,151,25,2,"WCPO",0,121.011854264657,127.275209728051,-616.012685282453,57.8053128992065,-9999,-9999,-9999,-9999,0,0,0,0
"1143",1143,152,25,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1144",1144,153,25,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1145",1145,154,25,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008702,0,0,0
"1146",1146,155,25,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008702,0,0,0
"1147",1147,156,25,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008702,0,0,0
"1148",1148,157,25,2,"WCPO",0,-9999,-9999,-9999,-9999,606.888187664474,82.1334673465393,31.1435373289726,367.50264236162,0.008702,0,0,0
"1149",1149,158,25,4,"WCPO",0,145.527598240814,74.6795057398352,1054.6437536579,-123.751457884809,-9999,-9999,-9999,-9999,0.011229,0,0,0
"1150",1150,159,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.011229,0,0,0
"1151",1151,160,25,4,"WCPO",0,-9999,-9999,-9999,-9999,401.58561569913,72.9904118985061,20.3735084494318,448.844461449983,0.011229,0,0,0
"1152",1152,161,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.011229,0,0,0
"1153",1153,162,25,4,"WCPO",0,260.639921452463,12.8843771010473,1155.49347490624,182.054393279396,-9999,-9999,-9999,-9999,0,0,0,0
"1154",1154,163,25,4,"WCPO",0,31.1332246394148,62.608726165116,-726.485834736726,328.215314003231,-9999,-9999,-9999,-9999,0,0,0,0
"1155",1155,164,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1156",1156,165,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1157",1157,166,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1158",1158,167,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1159",1159,168,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1160",1160,169,25,4,"WCPO",0,-9999,-9999,-9999,-9999,340.83132638446,88.4454627329264,34.7445850929811,424.937612830743,0,0,0,0
"1161",1161,170,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1162",1162,171,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1163",1163,172,25,4,"WCPO",0,-9999,-9999,-9999,-9999,333.091084573776,335.844811808819,74.1618850361621,308.840056035794,0,0,0,0
"1164",1164,173,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1165",1165,174,25,4,"WCPO",0,124.680932582288,63.1017951365341,409.948881122064,16.5208699896141,706.507901570637,241.202715537747,58.9518266760436,447.938211585784,0,0,0,0
"1166",1166,175,25,4,"WCPO",0,323.175891640107,229.886415658737,583.951587370209,379.425082878694,555.506013809522,51.1040534319844,52.9270289232386,470.175275147553,0,0,0,0
"1167",1167,176,25,4,"WCPO",0,-9999,-9999,-9999,-9999,672.820282000909,143.965969928806,41.8700400826233,375.31122703403,0,0,0,0
"1168",1168,177,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1169",1169,178,25,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1170",1170,179,25,4,"WCPO",0,-182.910328927563,26.077968011392,306.791283018346,-130.221484923926,-9999,-9999,-9999,-9999,0,0,0,0
"1171",1171,135,26,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1172",1172,136,26,2,"EPO",0,-9999,-9999,-9999,-9999,394.086332741233,81.3053555833872,12.9081050500719,315.018069184686,0,0,0,0
"1173",1173,137,26,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1174",1174,138,26,2,"EPO",0,-9999,-9999,-9999,-9999,517.921562311501,109.059299394156,48.8262476045657,365.200502946368,0,0,0,0
"1175",1175,139,26,2,"EPO",0,-9999,-9999,-9999,-9999,483.641788343344,69.3373263588133,62.1044589596849,220.672025662728,0,0,0,0
"1176",1176,140,26,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1177",1177,141,26,2,"EPO",0,188.489336791528,38.7765962137037,-326.778672680563,157.042228104807,-9999,-9999,-9999,-9999,0,0,0,0
"1178",1178,142,26,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1179",1179,143,26,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1180",1180,144,26,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1181",1181,145,26,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1182",1182,146,26,2,"EPO",0,256.090290386029,48.1396708000017,-300.404222402135,26.8559765760988,495.51489254254,108.132221147923,22.1058783543745,381.333385739885,0,0,0,0
"1183",1183,147,26,2,"EPO",0,-9999,-9999,-9999,-9999,453.631893500328,255.790496417279,82.5859814681027,241.045335200165,0,0,0,0
"1184",1184,148,26,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1185",1185,149,26,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1186",1186,150,26,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1187",1187,151,26,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1188",1188,152,26,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1189",1189,153,26,2,"WCPO",0,238.825129896175,26.8583737769418,-564.883406512625,-147.207967572466,-9999,-9999,-9999,-9999,0,0,0,0
"1190",1190,154,26,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1191",1191,155,26,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1192",1192,156,26,2,"WCPO",0,126.030752417842,1.13732955569188,1369.36598895181,-240.904377144311,-9999,-9999,-9999,-9999,0,0,0,0
"1193",1193,157,26,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1194",1194,158,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00386,0.00386,0,0
"1195",1195,159,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00386,0.00386,0,0
"1196",1196,160,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00386,0.00386,0,0
"1197",1197,161,26,4,"WCPO",0,-9999,-9999,-9999,-9999,592.988642302472,192.010799423525,58.0100180425408,244.664206375768,0.00386,0.00386,0,0
"1198",1198,162,26,4,"WCPO",0,-135.293554172705,55.3399535664806,-1625.18064781179,-407.324969931115,493.980880503958,128.021045424859,60.078092658619,304.318516440871,0.008635,0,0,0
"1199",1199,163,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008635,0,0,0
"1200",1200,164,26,4,"WCPO",0,-9999,-9999,-9999,-9999,391.969140538508,269.005360369835,17.0262857467508,334.979896447464,0.008635,0,0,0
"1201",1201,165,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008635,0,0,0
"1202",1202,166,26,4,"WCPO",0,-9999,-9999,-9999,-9999,614.768757439093,14.0499532467525,34.3028829583441,242.087057395092,0.002894,0.00289,0,0
"1203",1203,167,26,4,"WCPO",0,-9999,-9999,-9999,-9999,690.382015170222,-25.6971016619261,24.3398915883122,369.424701310866,0.002894,0.00289,0,0
"1204",1204,168,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.002894,0.00289,0,0
"1205",1205,169,26,4,"WCPO",0,-9999,-9999,-9999,-9999,537.759657908797,114.379026107577,58.6836638949328,216.212065029366,0.002894,0.00289,0,0
"1206",1206,170,26,4,"WCPO",0,-9999,-9999,-9999,-9999,533.069360898732,180.878550334209,42.680388488274,248.545573672461,0.006513,0.00651,0,0
"1207",1207,171,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1208",1208,172,26,4,"WCPO",0,-9999,-9999,-9999,-9999,318.392250670539,117.770414546165,45.1367327222138,246.1973175239,0,0,0,0
"1209",1209,173,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1210",1210,174,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1211",1211,175,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1212",1212,176,26,4,"WCPO",0,147.108650294276,99.2681473300007,757.676906207271,206.78924919738,-9999,-9999,-9999,-9999,0,0,0,0
"1213",1213,177,26,4,"WCPO",0,-9999,-9999,-9999,-9999,440.166083556516,163.676349925085,57.3939746639394,393.168575087859,0,0,0,0
"1214",1214,178,26,4,"WCPO",0,-23.1014641453514,36.7559036725474,1007.9621434705,-68.3150910658458,559.259852556494,178.073104734066,71.3824509747813,404.842028138477,0,0,0,0
"1215",1215,179,26,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1216",1216,135,27,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1217",1217,136,27,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1218",1218,137,27,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
